id,name,html_http,html_https,html_external-js,html_iframes,html_XMLHttpRequests,html_scriptTags,html_POST,html_GET,html_objectTags,html_bodyTags,html_imgTags,html_fromCharCode,html_formTags,html_document.write,html_document.writeIn,html_innerHTML,html_createElement('script'),html_tabs.executeScript(),html_appendChild(),html_%u,html_\x,html_\,html_%,html_!,js_http,js_https,js_iframes,js_XMLHttpRequests,js_external-js,js_POST,js_GET,js_document.write,js_document.writeIn,js_innerHTML,js_fromCharCode,js_createElement('script'),js_keywords,js_tabs.executeScript(),js_appendChild,js_%u,js_\x,js_\,js_!,css_background-image,css_behavior,css_@import,permission_<all_urls>,permission_http://*/*,permission_https://*/*,permission_*://*/*,permission_webRequest,permission_webRequestBlocking,permission_tabs,permission_storage,permission_history,permission_cookies,permission_notifications,permission_background,permission_unlimitedStorage,permission_contextMenus,permission_management,permission_activeTab,permission_sessions,permission_identity,permission_webNavigation,permission_downloads,permission_debugger,permission_alarms,permission_scripting,permission_search,permission_fileSystem,permission_fileSystem.write,permission_desktopCapture,isMalicious
138,extension_2_421_0_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001582591493570722,0.014702920443101713,0.04081632653061224,0.0,0.004098360655737705,0.0,0.0,0.0,0.0,0.0582010582010582,0.0011614401858304297,0.003484320557491289,0.00585365097918042,0.0,0.027254707631318136,0.0,0.0006482757023951472,0.0002608668381703779,0.0059618397804176064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,extension_6_0_5_0,0.0,0.018691588785046728,0.0,0.0,0.0,0.013232514177693762,0.0,0.0,0.0,0.0625,0.0032626427406199023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016203516163007373,0.00040849673202614386,0.06765578635014836,0.8173212487411883,0.0,0.74,0.18852459016393444,0.12823275862068964,0.5882352941176471,0.0,0.0,0.07760141093474426,0.9953542392566783,0.08188153310104529,0.37191641871205905,0.0,0.16105054509415262,0.055944055944055944,0.031794450296933424,0.07713295465668689,1.0,0.004822763443453099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,JiminJungkookBackgrounds,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002014098690835851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.582113356497759e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,extension_3_2_0_1,0.0,0.009345794392523364,0.0,0.0,0.0,0.003780718336483932,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005446623093681918,0.006726013847675568,0.0018126888217522659,0.0,0.0075,0.0,0.0021551724137931034,0.006839945280437756,0.0,0.0,0.0,0.0011614401858304297,0.0,0.0006197072055594622,0.0,0.018334985133795837,0.0034965034965034965,0.0,1.1879182066046351e-05,0.0009001100134460879,0.003858210754762479,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,extension_4_8_9_0,0.0,0.03115264797507788,0.0,0.0,0.0,0.001890359168241966,0.0,0.0,0.0,0.020833333333333332,0.12398042414355628,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011846405228758171,0.000791295746785361,0.004632426988922457,0.0,0.0,0.012295081967213115,0.0021551724137931034,0.0,0.0,0.0,0.005291005291005291,0.0011614401858304297,0.0,8.951326302525565e-05,0.08571428571428572,0.0009910802775024777,0.0,0.0,0.0004770679517724215,0.0018335574347975864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,extension_2_7_0_0,0.014141414141414142,0.024922118380062305,0.058823529411764705,0.0,0.0,0.013232514177693762,0.0,0.0,0.0,0.041666666666666664,0.0016313213703099511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053285968028419185,0.0005671230657052581,0.002450980392156863,0.001582591493570722,0.004431017119838872,0.0,0.0,0.0,0.003232758620689655,0.0,0.0,0.0,0.10758377425044091,0.019744483159117306,0.0,0.0021422933814409743,0.0,0.022794846382556987,0.0,0.0010881770718775684,0.0038222456215710743,0.007673160052895354,0.0004822763443453099,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,extension_1_24_3_0,0.0,0.003115264797507788,0.0,0.0,0.0,0.007561436672967864,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008169934640522877,0.0,0.0012084592145015106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.0017421602787456446,0.0044257422930371595,0.0,0.008919722497522299,0.0,0.0,9.598379109365452e-05,0.009967884963717788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,extension_8_1_1_4,0.00808080808080808,0.11838006230529595,0.0,0.0,0.0,0.030245746691871456,0.0,0.0,0.0,0.10416666666666666,0.200652528548124,0.0,0.09333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017761989342806395,0.0055091954954225066,0.021241830065359478,0.001582591493570722,0.024974823766364552,0.0,0.005,0.04098360655737705,0.023706896551724137,0.008207934336525308,0.0,0.0,0.06349206349206349,0.004645760743321719,0.005226480836236934,0.009453977702590462,0.02857142857142857,0.02130822596630327,0.0,7.524628688515102e-05,0.0005393148657985043,0.014273966818166665,0.018808777429467086,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
146,extension_2_4_1_0,0.00202020202020202,0.006230529595015576,0.0,0.0,0.0,0.001890359168241966,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040849673202614386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010582010582010581,0.0,0.0,4.906015377345742e-05,0.02857142857142857,0.0,0.0,0.0,0.0,1.6668703952705332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,extension_5_2_3_0,0.0,0.012461059190031152,0.0,0.0,0.0,0.003780718336483932,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005446623093681918,0.010484668644906034,0.005639476334340383,0.0,0.0225,0.02459016393442623,0.0,0.0013679890560875513,0.0,0.0,0.14814814814814814,0.0011614401858304297,0.003484320557491289,0.010896518364420543,0.3142857142857143,0.11992071357779979,0.006993006993006993,7.524628688515102e-05,0.0009950002898520423,0.015707475358099323,0.0004822763443453099,0.0,0.08333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,extension_0_3_47_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009891196834817012,0.0016112789526686808,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.04409171075837742,0.0,0.0017421602787456446,0.0009355857395043547,0.08571428571428572,0.02130822596630327,0.0,0.0,0.0013684817740085397,0.002166931513851693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,extension_1_3_6_0,0.022222222222222223,0.018691588785046728,0.0,0.30000000000000004,0.0,0.015122873345935728,0.0,0.0,0.0,0.0625,0.0065252854812398045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004861054848902212,0.0010893246187363835,0.0011869436201780415,0.006445115810674723,0.0,0.0025,0.0,0.0,0.0013679890560875513,0.0,0.0,0.010582010582010581,0.0,0.0,0.0005224476024647133,0.0,0.0004955401387512388,0.0,0.0,1.282951663133006e-05,9.445598906533021e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150,extension_32_1_0_46,0.0,0.003115264797507788,0.0,0.0,0.0,0.007561436672967864,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032407032326014747,0.0009531590413943356,0.027893175074183974,0.0324269889224572,0.02040816326530612,0.04,0.020491803278688527,0.017241379310344827,0.016415868673050615,0.0,0.0,0.02821869488536155,0.05226480836236934,0.010452961672473868,0.03513998066857801,0.0,0.022299306243805748,0.0,0.0002488915643124226,0.0017728491315367576,0.17861627532253943,0.0004822763443453099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
