id,name,html_http,html_https,html_external-js,html_iframes,html_XMLHttpRequests,html_scriptTags,html_POST,html_GET,html_objectTags,html_bodyTags,html_imgTags,html_fromCharCode,html_formTags,html_document.write,html_document.writeIn,html_innerHTML,html_createElement('script'),html_tabs.executeScript(),html_appendChild(),html_%u,html_\x,html_\,html_%,html_!,html_href=javascript,html_ClickJack,html_VBScript,html_CoinHive,js_http,js_https,js_iframes,js_XMLHttpRequests,js_external-js,js_POST,js_GET,js_document.write,js_document.writeIn,js_innerHTML,js_fromCharCode,js_createElement('script'),js_keywords,js_tabs.executeScript(),js_appendChild,js_%u,js_\x,js_\,js_!,js_ClickJack,js_CoinHive,css_background-image,css_behavior,css_@import,permission_<all_urls>,permission_http://*/*,permission_https://*/*,permission_*://*/*,permission_webRequest,permission_webRequestBlocking,permission_tabs,permission_storage,permission_history,permission_cookies,permission_notifications,permission_background,permission_unlimitedStorage,permission_contextMenus,permission_management,permission_activeTab,permission_sessions,permission_identity,permission_webNavigation,permission_downloads,permission_debugger,permission_alarms,permission_scripting,permission_search,permission_fileSystem,permission_fileSystem.write,permission_desktopCapture,isMalicious
414,extension_0_5_6_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004549951,0.010674723,0,0.005,0.024590164,0.011853448,0.012311902,0,0,0.079365079,0.047619048,0,0.011282114,0,0.03468781,0.01048951,0.000885591,0.007558961,0.033843025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
415,extension_3_3_2_0,0,0,0,0,0,0.013232514,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.000729158,0.000272331,0,0,0,0,0.002373887,0.003021148,0,0.005,0,0.001077586,0.005471956,0,0,0.029982363,0.005807201,0.00174216,0.002070855,0.028571429,0.014370664,0,7.52E-05,0.000180088,0.012462634,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
416,extension_1_5_4_0,0,0.003115265,0,0,0,0.003780718,0,0,0,0.041666667,0,0,0.013333333,0,0,0,0,0,0,0,0,0.001776199,0.000567123,0.000680828,0,0,0,0,0.000197824,0.00020141,0,0,0.004098361,0,0,0,0,0.008818342,0.00116144,0,0.000162673,0,0,0,0,1.62E-05,0.000277812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,extension_1_14_0_0,0,0.00623053,0,0,0,0.017013233,0,0,0,0.041666667,0.001631321,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0.000272331,0,0,0,0,0.000197824,0.000805639,0,0.005,0,0,0,0,0,0.003527337,0,0,0.000227226,0,0.004955401,0,0,3.80E-06,0.000583405,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,ZoomerForInstagramAndFacebook-Vir-Extension,0,0,0,0,0,0.003780718,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136166,0,0,0,0,0.000791296,0.002819738,0.020408163,0.015,0,0.001077586,0.006839945,0,0,0.019400353,0.003484321,0.00174216,0.001071577,0,0.009415263,0,1.74E-05,0.000129246,0.003744902,0,0,0.000723415,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
419,extension_5_3_2_0,0,0,0,0,0,0.017013233,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122549,0,0,0,0,0.223343225,0.159315206,0.326530612,1,0.151639344,0.264008621,0.383036936,0,0,0.541446208,0.18583043,0.095818815,0.139834349,0.542857143,0.366204163,0,0.007229432,0.020145192,0.492899132,0,0,0.002893658,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
420,extension_3_0_29_0,0,0.018691589,0,0,0,0.017013233,0,0,0,0.0625,0.001631321,0,0,0,0,0,0,0,0,0,0,0,0,0.000408497,0,0,0,0,0.00553907,0.016515609,0,0.005,0.008196721,0.009698276,0.012311902,0,0,0.105820106,0.006968641,0.00174216,0.015963485,0,0.03419227,0,6.95E-05,0.00080921,0.024497439,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
421,extension_1_11_9_0,0,0,0,0,0,0.001890359,0,0,0,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000136166,0,0,0,0,0.017408506,0.007049345,0.020408163,0.03,0.016393443,0.005387931,0.009575923,0,0,0.178130511,0.026713124,0.010452962,0.02498625,0,0.068880079,0.006993007,0.000109975,0.007798445,0.062240941,0,0,0.029418857,0,0.041666667,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
422,extension_0_9_8_0,0.004,0,0,0,0,0.003780718,0,0,0,0.041666667,0.009787928,0,0,0,0,0,0,0,0,0,0,0,0,0.000272331,0,0,0,0,0,0.00020141,0,0.0025,0,0.001077586,0,0,0,0.019400353,0,0,0.000812505,0,0.002477701,0,0,2.76E-05,0.002150263,0,0,0,0,0.125,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,extension_0_3_5_0,0.002,0.00623053,0,0,0,0.009451796,0,0,0,0.0625,0.01141925,0,0.04,0,0,0,0,0,0,0,0,0,0.000891193,0.000816993,0,0,0,0,0.003363007,0.001611279,0,0.0325,0.004098361,0,0,0,0,0.001763668,0.072009292,0.003484321,0.01232787,0,0.025272547,0.006993007,0.001348645,0.00210309,0.007534254,0,0,0.000482276,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
